"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Control_1","Control_2","Activated_1","Activated_2","go","genename"
"Xist",23297.7252589429,9.90148425096104,0.217186685332734,45.5897387806797,0,0,34,65,51928,41913,"GO:0000805","inactive X specific transcripts"
"Stat5a",3296.60017835585,3.90932404744674,0.139813833280059,27.9609245790152,4.85548982593576e-172,2.6299760642181e-168,356,474,6140,6386,"GO:0000255","signal transducer and activator of transcription 5A"
"Zc3h12c",4514.3614739614,3.86609182786024,0.149847255704971,25.8002177595567,8.81733330226213e-147,3.18393905544685e-143,567,585,8351,8770,"GO:0003674","zinc finger CCCH type containing 12C"
"Nfe2l2",3523.86631714344,3.26834697926234,0.139597847419087,23.4125886586949,3.18120838664951e-121,8.61550761314354e-118,608,720,5999,6966,"GO:0000785","nuclear factor, erythroid derived 2, like 2"
"Cd86",4938.11910467388,3.3831398390841,0.151534415749242,22.325884336945,2.07149413403498e-110,4.4880991908002e-107,841,876,9285,8946,"GO:0002224","CD86 antigen"
"Ccl22",1038.8590077273,4.10529843007092,0.186080307387862,22.0619714557646,7.33169681415583e-108,1.32373785979584e-104,88,144,1869,2118,"GO:0002548","chemokine (C-C motif) ligand 22"
"Il1rn",1044.64689718308,4.05301326065314,0.184580582164071,21.9579611957799,7.26879479936559e-107,1.12489791516468e-103,111,127,1813,2191,"GO:0001660","interleukin 1 receptor antagonist"
"Ehd1",1663.58991805706,3.39666953987124,0.160382641227495,21.1785359928899,1.50641706387683e-99,2.03987700662221e-96,276,300,2890,3276,"GO:0000166","EH-domain containing 1"
"Mreg",6168.10778842392,2.81776258740431,0.134243415676717,20.9899500336762,8.10309259866675e-98,9.75342245792854e-95,1434,1627,10495,11414,"GO:0005515","melanoregulin"
"Pik3r1",7352.21504591712,2.86429999634587,0.13862647577257,20.6619982249642,7.61471203873031e-95,8.24901755155655e-92,1687,1852,12168,14083,"GO:0001678","phosphoinositide-3-kinase regulatory subunit 1"
"Jdp2",719.730935431043,4.5517770988018,0.223864344084693,20.3327471259994,6.60018199715674e-92,6.499979234109e-89,63,54,1319,1481,"GO:0000122","Jun dimerization protein 2"
"Socs3",807.72186950239,4.96290838034763,0.244597696044343,20.2900863769702,1.5731856764745e-91,1.42019336943736e-88,59,40,1402,1780,"GO:0001784","suppressor of cytokine signaling 3"
"Bcl2l11",1876.01157125514,3.06411154504082,0.152466430831749,20.0969585785225,7.84570054499616e-90,6.53788261568795e-87,328,485,3387,3400,"GO:0001701","BCL2-like 11 (apoptosis facilitator)"
"Ccr7",6288.06818481816,2.72256629950018,0.135599604183544,20.077981170321,1.14973193595688e-89,8.8964614730149e-87,1525,1787,10069,12124,"GO:0001768","chemokine (C-C motif) receptor 7"
"Gadd45b",1982.58704057136,3.49898138204481,0.176366051561915,19.839313467969,1.36307350155296e-87,9.84411682821546e-85,231,431,3394,4009,"GO:0000185","growth arrest and DNA-damage-inducible 45 beta"
"Dennd4a",9770.37232937441,2.610981385856,0.133321529662753,19.5840941253876,2.11332376404328e-85,1.43085227099255e-82,2427,3105,17584,16365,"GO:0005575","DENN/MADD domain containing 4A"
"Litaf",1511.86029874091,3.24782097410008,0.166419372278511,19.5158828544594,8.04670397037333e-85,5.12764377123848e-82,279,295,2542,3014,"GO:0000978","LPS-induced TN factor"
"Txnrd1",1316.65184594259,3.12375688668014,0.16494148515972,18.9385762087402,5.48606839279226e-80,3.30169882772881e-77,216,335,2371,2415,"GO:0000305","thioredoxin reductase 1"
"Cd83",10784.6756751305,2.64089551522232,0.140914846348899,18.7410736600712,2.28960702769882e-78,1.30543752268744e-75,2841,3095,17055,20726,"GO:0006952","CD83 antigen"
"Phlpp1",2790.553858049,2.77837441289526,0.150554398020217,18.4542892763728,4.81659601815665e-76,2.60890923323455e-73,664,755,5085,4763,"GO:0001932","PH domain and leucine rich repeat protein phosphatase 1"
"Slc41a1",1552.0415381842,2.7772982626637,0.152697704160989,18.188212310878,6.39935961071033e-74,3.30115536489643e-71,351,444,2530,2972,"GO:0005886","solute carrier family 41, member 1"
"Irf4",6583.20327369689,2.57252531190561,0.141964187506671,18.1209455503327,2.1781929737218e-73,1.07256202201492e-70,1799,1978,10353,12554,"GO:0000788","interferon regulatory factor 4"
"Etv3",7168.81349447439,2.40832475832773,0.133374541639371,18.0568549944078,6.96811716888194e-73,3.28198318654339e-70,2072,2483,12406,12004,"GO:0000122","ets variant 3"
"Nampt",2974.52799843571,2.80688746514435,0.155691263249756,18.0285483369842,1.16305238260118e-72,5.24972769196609e-70,734,742,5151,5395,"GO:0004514","nicotinamide phosphoribosyltransferase"
"Il2ra",481.575328220146,4.73999981273649,0.264138961423742,17.9450990008717,5.24170925344341e-72,2.2713374537021e-69,39,30,930,949,"GO:0002376","interleukin 2 receptor, alpha chain"
"Bcl3",2106.95802072081,2.61695036615703,0.145945281564482,17.9310378390054,6.75077151398521e-72,2.81273491580776e-69,548,634,3518,3829,"GO:0000060","B cell leukemia/lymphoma 3"
"Cflar",4080.11269461642,2.4090959174325,0.13750437673527,17.5201399012237,1.00577776137581e-68,4.03540388480895e-66,1125,1482,7132,6757,"GO:0002020","CASP8 and FADD-like apoptosis regulator"
"Slc15a3",1163.15434553171,3.1087247827351,0.178028629607755,17.4619373838043,2.79292595126083e-68,1.08056310107174e-65,216,270,1802,2444,"GO:0005215","solute carrier family 15, member 3"
"Kdm6b",7327.64925675222,2.76544629208787,0.158839117518201,17.4103604659663,6.88490610935342e-68,2.57186854767674e-65,1892,1821,11825,14132,"GO:0003682","KDM1 lysine (K)-specific demethylase 6B"
"Kdm2b",1982.67201766792,2.62466706365228,0.152813403374873,17.1756338494313,4.04213263310037e-66,1.45961409381255e-63,529,574,3315,3603,"GO:0000122","lysine (K)-specific demethylase 2B"
"Tnfsf9",413.326803027201,4.4009332107735,0.260716023962617,16.8801792229101,6.29534177939077e-64,2.19991733858517e-61,27,49,799,800,"GO:0005102","tumor necrosis factor (ligand) superfamily, member 9"
"Tnip3",377.564468619116,5.69749795884869,0.338407592237445,16.8362001608139,1.32474893840074e-63,4.48468914052974e-61,9,20,711,793,"GO:0002756","TNFAIP3 interacting protein 3"
"Pvr",617.153967544659,3.48681528125729,0.215161266024868,16.2055900937778,4.60446073350605e-59,1.51151888260821e-56,97,105,1225,1062,"GO:0001618","poliovirus receptor"
"Tnfrsf1b",4872.14777885734,2.16585000011804,0.134282587677713,16.1290457502668,1.59465301750044e-58,5.08084592311243e-56,1448,2161,7781,8378,"GO:0005031","tumor necrosis factor receptor superfamily, member 1b"
"Srgn",8294.64113286053,2.3396982032857,0.145405742629769,16.0908239315074,2.95873496547953e-58,9.15770739458277e-56,2634,2809,12638,15522,"GO:0000139","serglycin"
"Wnk1",24562.3997227542,2.02762208677289,0.126204324063009,16.0661855433779,4.4036378764576e-58,1.3251280309907e-55,8688,10740,40457,39370,"GO:0000166","WNK lysine deficient protein kinase 1"
"Stat4",1620.04091304645,2.38194835974204,0.148499742490919,16.0400841091539,6.70634700313788e-58,1.96350965094575e-55,437,619,2643,2871,"GO:0000978","signal transducer and activator of transcription 4"
"Zfp36l2",2054.54985128164,-2.31226798247658,0.14442059131897,-16.0106530610283,1.07673702022588e-57,3.06955056318605e-55,2953,3951,706,688,"GO:0000165","zinc finger protein 36, C3H type-like 2"
"Nab2",479.601196578072,3.66149934373687,0.232091224578737,15.7761214383817,4.54257584391183e-56,1.26178779787428e-53,65,76,772,1038,"GO:0001958","Ngfi-A binding protein 2"
"Bcl2a1d",3061.13003927857,2.25771017128161,0.143518741035604,15.731117448428,9.25629739212337e-56,2.50683674122181e-53,879,1268,4608,5688,"GO:0001836","B cell leukemia/lymphoma 2 related protein A1d"
"Bcl2a1b",4063.9070019709,2.15817142981406,0.137270610998998,15.7220210073212,1.06859923391646e-55,2.82344768317487e-53,1228,1791,6174,7317,"GO:0001836","B cell leukemia/lymphoma 2 related protein A1b"
"Lilrb4",2242.52216587698,2.78344744969474,0.179017156144549,15.5484955165259,1.62887385980471e-54,4.20133107696771e-52,567,560,4287,3613,NA,NA
"Icam1",2868.35037593607,2.09874926514634,0.135859304290267,15.4479612280533,7.78677030388698e-54,1.96172285353506e-51,975,1206,4429,5010,"GO:0001772","intercellular adhesion molecule 1"
"Ifitm1",1186.13054854544,2.71000854267616,0.176048515499007,15.3935324873071,1.80881768841005e-53,4.45339136785138e-51,314,310,2049,2118,"GO:0001503","interferon induced transmembrane protein 1"
"Inf2",912.233425938366,2.81018523450796,0.182671759653818,15.3837968158491,2.1024846725257e-53,5.06138143499353e-51,181,282,1679,1550,"GO:0003779","inverted formin, FH2 and WH2 domain containing"
"Lrp8",2050.57906156866,2.31146786475437,0.151033175704111,15.3043717314318,7.14889804093957e-53,1.68356548864127e-50,637,739,3527,3377,"GO:0000122","low density lipoprotein receptor-related protein 8, apolipoprotein e receptor"
"Gpd2",2137.0466147591,2.13245265490698,0.13941129917261,15.2961249738209,8.11464253225211e-53,1.87033877769972e-50,700,898,3370,3689,"GO:0004367","glycerol phosphate dehydrogenase 2, mitochondrial"
"Slc7a1",1091.23883823038,2.8155354937333,0.184159637216557,15.2885590799816,9.11444933325695e-53,2.05701728389943e-50,197,360,1892,1983,"GO:0003333","solute carrier family 7 (cationic amino acid transporter, y+ system), member 1"
"Batf",672.400824392565,3.54335235038968,0.234540993914736,15.1076035419114,1.44292667333461e-51,3.19004584739466e-49,117,92,1068,1453,"GO:0000978","basic leucine zipper transcription factor, ATF-like"
"Pik3r5",7356.81671683047,2.41745958916449,0.161678191459994,14.9522923737223,1.50478668932919e-50,3.26027084110062e-48,2367,2207,12256,12858,"GO:0005634","phosphoinositide-3-kinase regulatory subunit 5"
"Map3k14",2802.91283342799,2.22087003361343,0.148657358760807,14.9395230221119,1.82275226343044e-50,3.87174024896901e-48,941,1033,4713,4627,"GO:0000166","mitogen-activated protein kinase kinase kinase 14"
"Mllt6",3024.83223339718,1.99273574888138,0.133681509683303,14.9065921951529,2.9860861221615e-50,6.22082133872607e-48,1066,1381,4808,4988,"GO:0003014","myeloid/lymphoid or mixed-lineage leukemia; translocated to, 6"
"Tagln2",3067.88952736131,2.23304513009142,0.150200182472225,14.8671266128745,5.38765243810422e-50,1.10121582758458e-47,1018,1129,4571,5717,"GO:0030855","transgelin 2"
"Prdm1",874.729672084794,2.55574187765568,0.17266052590509,14.8021203124364,1.41936809622775e-49,2.84741010859911e-47,237,272,1468,1562,"GO:0000122","PR domain containing 1, with ZNF domain"
"Map4k4",1883.58674005798,2.6732933278651,0.181060688774456,14.7646258608635,2.47692977533405e-49,4.87865095567159e-47,471,551,3702,2857,"GO:0000166","mitogen-activated protein kinase kinase kinase kinase 4"
"Ehf",2076.85480826542,2.3294024575832,0.158764973298785,14.6720174430378,9.74053025169612e-49,1.88427078958257e-46,628,754,3729,3266,"GO:0000978","ets homologous factor"
"Dot1l",1277.19505293948,2.28696431017375,0.15593820305946,14.665837269535,1.0669290364435e-48,2.02772671084079e-46,397,474,2103,2192,"GO:0000077","DOT1-like, histone H3 methyltransferase (S. cerevisiae)"
"Bach1",1707.91443514079,2.12790681328261,0.146955921633676,14.4798983914847,1.62336970227546e-47,3.0320627559914e-45,581,694,2721,2914,"GO:0000083","BTB and CNC homology 1, basic leucine zipper transcription factor 1"
"Hs6st1",1056.58067243652,2.32478323057371,0.162328862291232,14.3214410411061,1.60754931353846e-46,2.95162401924782e-44,318,388,1662,1914,"GO:0001525","heparan sulfate 6-O-sulfotransferase 1"
"Cd80",1959.8582144416,2.376203996306,0.167011175925503,14.2278142952896,6.15764206054401e-46,1.11176227403122e-43,636,617,3265,3392,"GO:0005515","CD80 antigen"
"Gch1",527.447267685229,2.91874440091559,0.20538386734717,14.2111668195531,7.81130460224642e-46,1.38721086485468e-43,109,139,970,914,"GO:0000166","GTP cyclohydrolase 1"
"Serpinb9",727.560355643146,2.56566829643671,0.1814428768908,14.1403638456463,2.14174171792302e-45,3.74217548875162e-43,183,241,1145,1385,"GO:0001913","serine (or cysteine) peptidase inhibitor, clade B, member 9"
"Samsn1",2117.37095578766,2.1285402767179,0.151006926295522,14.0956466629374,4.0393071565105e-45,6.94568482959972e-43,629,976,3487,3493,"GO:0001784","SAM domain, SH3 domain and nuclear localization signals, 1"
"Arl5c",1182.35380091138,2.32217565146597,0.166426176532523,13.9531875324443,3.00853007351191e-44,5.09240723224289e-42,310,493,1977,2016,"GO:0000166","ADP-ribosylation factor-like 5C"
"Rilpl2",996.284085706379,3.09014043083598,0.221523626307375,13.949484677306,3.16886709559573e-44,5.28128265332131e-42,231,179,1550,2079,"GO:0003382","Rab interacting lysosomal protein-like 2"
"Dusp2",1514.2977374843,2.66758269032252,0.191724864315867,13.9135980084861,5.23769123439612e-44,8.59695593063836e-42,438,371,2471,2839,"GO:0001706","dual specificity phosphatase 2"
"Lad1",568.610105092037,3.21239244567833,0.23159593709742,13.8706770331945,9.53723164704026e-44,1.54204224525951e-41,121,97,933,1152,"GO:0005198","ladinin"
"Myo1g",9100.28811667622,1.74712681162823,0.126253878776003,13.8382030601052,1.49907314003517e-43,2.38815578323545e-41,3750,4639,14139,14257,"GO:0000166","myosin IG"
"Smad3",437.178506407964,3.17616915861584,0.23082138597734,13.7602897806343,4.41752666874087e-43,6.93551686992317e-41,89,84,804,788,"GO:0000122","SMAD family member 3"
"Clic4",7134.26681425332,1.91661694457264,0.139762916028054,13.7133439902465,8.44730883579509e-43,1.30728138025955e-40,2544,3498,9954,13008,"GO:0001525","chloride intracellular channel 4 (mitochondrial)"
"Casp4",660.65259907107,2.65558826409915,0.194910039087233,13.6246869403716,2.85632482077059e-42,4.35810799766307e-40,148,219,1209,1096,"GO:0002376","caspase 4, apoptosis-related cysteine peptidase"
"Mapkapk2",2861.59903022457,1.92549298396252,0.142364564844798,13.5250860076146,1.11213507284583e-41,1.67329989501929e-39,1024,1385,4095,5119,"GO:0000166","MAP kinase-activated protein kinase 2"
"Bcl11a",1833.41131685503,-2.00563327174931,0.148310744881134,-13.523182513558,1.14129549391821e-41,1.69365124460493e-39,2721,3148,701,782,"GO:0000122","B cell CLL/lymphoma 11A (zinc finger protein)"
"Itga5",423.616020901731,3.02811562534188,0.224786088878534,13.4710988586939,2.31396396442011e-41,3.38745562521123e-39,83,103,798,727,"GO:0005154","integrin alpha 5 (fibronectin receptor alpha)"
"Cd274",7124.89420734259,2.27206767775386,0.168837563093304,13.4571219586855,2.7959599978798e-41,4.03848462093759e-39,2515,2297,12206,11672,"GO:0005515","CD274 antigen"
"Arl8b",2101.84574392795,1.88689882984391,0.141106130651542,13.3721959572653,8.79067267616428e-41,1.25301785659063e-38,775,1030,3335,3366,"GO:0000166","ADP-ribosylation factor-like 8B"
"Ndrg1",329.98220682751,3.46132041524896,0.259225956640271,13.3525224869832,1.1450477941437e-40,1.61094840960502e-38,58,51,585,641,"GO:0005634","N-myc downstream regulated gene 1"
"Ifitm2",3603.49229903678,1.84157254955649,0.138225380302091,13.3229696712119,1.70200304834791e-40,2.36382038753242e-38,1469,1672,5390,6043,"GO:0002376","interferon induced transmembrane protein 2"
"Skil",3410.38063601914,1.78626999799725,0.13431747521993,13.2988652077656,2.35007992122132e-40,3.22258427678362e-38,1390,1685,5280,5431,"GO:0000122","SKI-like"
"Dusp5",678.327618175375,2.76661264072852,0.2088010746344,13.2499923459336,4.51249287428864e-40,6.1104794133961e-38,183,160,1146,1251,"GO:0001706","dual specificity phosphatase 5"
"Cd40",1003.58630852701,2.22599742953092,0.168207261110547,13.2336583738082,5.60893678561165e-40,7.50143360475692e-38,318,392,1719,1625,"GO:0001934","CD40 antigen"
"Cldn1",226.143906581923,4.24474378541807,0.32141586627031,13.2063915657737,8.05963804124223e-40,1.06475681586313e-37,17,29,415,457,"GO:0001618","claudin 1"
"Bcl2l1",261.389541738296,3.75575405248581,0.285376270774059,13.1607089906201,1.4769341674837e-39,1.92766600437963e-37,29,44,443,547,"GO:0000910","BCL2-like 1"
"Tbc1d4",11892.6680669747,1.90077695375764,0.144876894251138,13.1199454791095,2.5311697517259e-39,3.26430499052937e-37,4847,5140,19417,18530,"GO:0005096","TBC1 domain family, member 4"
"Traf1",4615.53133851506,1.67710158414763,0.128021543800919,13.1001512273248,3.28602267791738e-39,4.18793925527988e-37,1904,2533,6707,7565,"GO:0005164","TNF receptor-associated factor 1"
"Atp1a1",3936.57488156827,1.81162185544579,0.138404589605922,13.0893192241962,3.78989365158652e-39,4.77394394507405e-37,1618,1873,5696,6751,"GO:0000166","ATPase, Na+/K+ transporting, alpha 1 polypeptide"
"Cpeb4",1430.38891905563,2.0303458518269,0.155750967128347,13.0358474766567,7.65121145269962e-39,9.52707743299943e-37,513,615,2366,2283,"GO:0000900","cytoplasmic polyadenylation element binding protein 4"
"Rab8b",4778.90053547982,1.66256073159741,0.127798613426965,13.0092235511424,1.08438275859347e-38,1.33489982089125e-36,2008,2615,7232,7484,"GO:0000166","RAB8B, member RAS oncogene family"
"Map2k3",757.96604959034,2.34373183455573,0.180712388197823,12.9694032486034,1.82445195593018e-38,2.22070652119007e-36,234,265,1175,1397,"GO:0000165","mitogen-activated protein kinase kinase 3"
"Sema7a",1157.42971539065,2.01314156367382,0.155519715971863,12.944606740653,2.52050613082777e-38,3.03384921280636e-36,399,528,1774,1991,"GO:0001649","sema domain, immunoglobulin domain (Ig), and GPI membrane anchor, (semaphorin) 7A"
"Gpr35",3461.77134602932,1.70611133346443,0.132610455606302,12.8655868473116,7.0305915768469e-38,8.3694943463717e-36,1393,1888,5002,5758,"GO:0004871","G protein-coupled receptor 35"
"Malt1",12223.6472292023,1.98237799831568,0.154742694560288,12.8108018536755,1.42652758305024e-37,1.67973622904165e-35,4899,4874,20302,19150,"GO:0001650","MALT1 paracaspase"
"Tmem132a",388.913112739196,2.90235965818929,0.229290787402653,12.6579863546481,1.01058325291922e-36,1.17716649235203e-34,70,117,647,747,"GO:0003674","transmembrane protein 132A"
"Atmin",786.775190158909,2.17651087646859,0.172055952175594,12.6500179095654,1.11849323123226e-36,1.28900395467436e-34,247,328,1219,1397,"GO:0003676","ATM interactor"
"Csf2rb",6970.3796626822,1.61832907257746,0.12965042568895,12.4822503588231,9.33115658253806e-36,1.06404651851195e-33,2825,4128,10394,10919,"GO:0001558","colony stimulating factor 2 receptor, beta, low-affinity (granulocyte-macrophage)"
"AI607873",2450.33444780058,2.30366802091814,0.184979568961661,12.453634927626,1.3361815180803e-35,1.50779733180874e-33,876,743,4053,4201,NA,NA
"Lgmn",1261.87062454404,2.35646171082303,0.189546834588184,12.4320815799576,1.75016782484273e-35,1.95459464397127e-33,419,396,2268,1994,"GO:0003014","legumain"
"Cxcl10",457.200125708413,2.65455968489613,0.213541114707845,12.4311409000929,1.77088703189468e-35,1.95755298127704e-33,117,134,714,890,"GO:0002690","chemokine (C-X-C motif) ligand 10"
"Ralgds",371.909338754655,2.9416225397761,0.238829634024405,12.3168238807229,7.35337212675333e-35,8.04637174233524e-33,88,82,657,675,"GO:0005085","ral guanine nucleotide dissociation stimulator"
"Rnd3",1543.94325782518,-1.95625266664391,0.159043745333683,-12.3000917926045,9.04712672795549e-35,9.80075238439418e-33,2339,2550,597,687,"GO:0000166","Rho family GTPase 3"
"Timd4",279.305602379156,3.39337166662301,0.278054368414202,12.2039861699569,2.95972056398632e-34,3.17452008610532e-32,53,43,497,536,"GO:0001786","T cell immunoglobulin and mucin domain containing 4"
"Eif1a",982.241798659626,2.18973366289544,0.179524364903172,12.1974176824215,3.20838080009247e-34,3.40748913798056e-32,350,351,1625,1636,"GO:0003723","eukaryotic translation initiation factor 1A"
"Bcl2a1a",1067.27645098779,2.00810696102694,0.164676299592585,12.1942681854952,3.3348644650161e-34,3.50743560674946e-32,343,521,1616,1856,"GO:0001782","B cell leukemia/lymphoma 2 related protein A1a"
"Basp1",769.067074484364,2.29174591975295,0.188115736363457,12.182638008152,3.84636163596272e-34,4.00650342330617e-32,199,334,1180,1417,"GO:0003714","brain abundant, membrane attached signal protein 1"
"Gosr2",2824.28299160679,1.6649313378002,0.137230879061619,12.1323374825328,7.11879829312083e-34,7.34456589613124e-32,1171,1562,3983,4742,"GO:0000139","golgi SNAP receptor complex member 2"
"Sdc4",657.529499377127,2.3927914817541,0.197403244753333,12.1213381509713,8.14188015130873e-34,8.32084789425731e-32,184,240,945,1306,"GO:0001843","syndecan 4"
"Plscr1",346.651568993746,2.80732409220015,0.231917772173878,12.1048251968175,9.95812844785296e-34,1.00819070537936e-31,79,95,613,615,"GO:0001077","phospholipid scramblase 1"
"Stat3",5335.94063423109,1.71301915731659,0.142361484243713,12.0328835177358,2.3867664046731e-33,2.39405930202072e-31,2347,2630,8483,8055,"GO:0000790","signal transducer and activator of transcription 3"
"Myo1e",891.905860201575,2.01496455438794,0.167962004424611,11.9965498226258,3.70418076271289e-33,3.68141194518062e-31,321,389,1444,1451,"GO:0000166","myosin IE"
"Kdm5c",1576.37208514139,1.94203588591272,0.162092516350302,11.9810336074723,4.46719012439415e-33,4.39937005614199e-31,616,683,2625,2431,"GO:0000122","lysine (K)-specific demethylase 5C"
"Plek",16518.2161950132,2.08612100744699,0.175537709596031,11.8841758403242,1.43038961331145e-32,1.3959829442345e-30,6666,5670,26504,27677,"GO:0005080","pleckstrin"
"Specc1",2098.00725630447,1.66084945724293,0.139900899230118,11.8716138808448,1.66229570590559e-32,1.60782583768529e-30,852,1188,3095,3371,"GO:0003674","sperm antigen with calponin homology and coiled-coil domains 1"
"Arf2",799.287627391877,2.31107020631289,0.19520839497097,11.8389898480369,2.45390682787989e-32,2.35249315632061e-30,275,255,1259,1440,"GO:0000166","ADP-ribosylation factor 2"
"Ccnd2",2843.51139481517,1.63566035066701,0.138524606403504,11.8077242241176,3.56068827427297e-32,3.3835908837894e-30,1281,1489,4206,4516,"GO:0000082","cyclin D2"
"Plekhg2",743.781209750896,2.18942224043273,0.186152877225343,11.7614203608703,6.16877103147208e-32,5.8109823116467e-30,206,340,1232,1240,"GO:0005085","pleckstrin homology domain containing, family G (with RhoGef domain) member 2"
"Nfkbia",1546.76315358677,1.71473082254944,0.146038126316742,11.7416654526939,7.7936385050347e-32,7.2783177521587e-30,620,839,2281,2530,"GO:0000060","nuclear factor of kappa light polypeptide gene enhancer in B cells inhibitor, alpha"
"Fabp5",527.557599564947,2.53476058693674,0.216944980420669,11.6838867717598,1.54085126127182e-31,1.42667023191091e-29,110,209,846,983,"GO:0005215","fatty acid binding protein 5, epidermal"
"Mxd1",2369.85447347902,1.62628598202397,0.139313579964368,11.673563929948,1.73978937401569e-31,1.59721510921288e-29,975,1373,3579,3674,"GO:0000122","MAX dimerization protein 1"
"Gna13",3026.02043338843,1.5526617396427,0.13383120560181,11.6016420285592,4.04246506937694e-31,3.68000202492104e-29,1378,1713,4481,4664,"GO:0000166","guanine nucleotide binding protein, alpha 13"
"Csrp1",1322.55363768667,2.16835362956385,0.187233773161184,11.5809962751601,5.14446691005293e-31,4.64416750305029e-29,345,646,1952,2451,"GO:0003723","cysteine and glycine-rich protein 1"
"Stx11",392.544806154568,2.61881089073564,0.226468658919436,11.5636790681365,6.29526140455097e-31,5.6360799004546e-29,89,134,715,650,"GO:0000149","syntaxin 11"
"Procr",308.344036071572,2.79044168496026,0.2423271054259,11.5151859716887,1.10620631703599e-30,9.82256805938597e-29,68,89,496,599,"GO:0004872","protein C receptor, endothelial"
