"Gene.name","baseMean","log2FoldChange","pvalue","padj"
"Xist",23297.7252589429,9.90148290114328,0,0
"Gng4",108.366132998042,7.77396687782969,5.32130580449058e-13,1.43041453548502e-11
"Sphk1",63.9525435595901,6.3981767974699,5.29842823807254e-12,1.31646497942752e-10
"Flrt3",62.0479053479026,6.36881205945228,8.13459852196093e-12,1.97141176260409e-10
"Cd70",18.1179786030241,6.1757710482399,9.72509250305364e-05,0.000784452174874014
"Tnip3",377.564468619116,5.69749820615517,1.32679533411391e-63,4.49161682951751e-61
"Lrrc32",309.470040242631,5.6253025216409,2.96141212756846e-10,6.08747202617631e-09
"Tnfsf4",85.3798143686406,5.56867583338807,1.57348562952558e-17,6.19838902714566e-16
"Mt2",47.7631633114729,5.21476965938899,9.28223811797860e-11,2.01511995054233e-09
"Plagl1",55.0986312054546,5.1950829126697,2.76418710279878e-12,7.0127491533066e-11
"Socs3",807.72186950239,4.96290916570407,1.56288842940632e-91,1.41089752964655e-88
"Il2ra",481.575328220146,4.73999976562579,5.24353638278196e-72,2.27212918538708e-69
"Srxn1",123.807479396898,4.73913876303598,3.26793505709763e-25,2.05829751476767e-23
"Rab20",93.6029862567382,4.67105144907341,3.15756646748978e-19,1.43120993900907e-17
"Jdp2",719.730935431043,4.55177750941593,6.56556973046055e-92,6.46589244455265e-89
"Ramp3",48.448477500249,4.54068658269815,3.73846650871677e-11,8.50815287582538e-10
"Tnfsf9",413.326803027201,4.40093336171605,6.30563664983211e-64,2.20351489766552e-61
"9130015A21Rik",31.987907664416,4.32512850398412,1.25729694802532e-07,1.80880449375277e-06
"Kcnh4",81.4857499748755,4.27825408505134,1.98412769504184e-16,7.0242010850942e-15
"Cldn1",226.143906581923,4.2447442454811,8.08953848838029e-40,1.06870695664175e-37
"Ccl22",1038.8590077273,4.10529803507551,7.23341199715014e-108,1.30599253608546e-104
"A430093F15Rik",17.4195918777878,4.0778410450437,9.53004702798791e-05,0.000773325838608188
"Il1rn",1044.64689718308,4.05301350627536,7.17378661771648e-107,1.11019472042461e-103
