"Gene.name","baseMean","log2FoldChange","pvalue","padj","Control_1","Control_2","Activated_1","Activated_2"
"Xist",23297.7252589429,9.90148290114328,0,0,38.944,56.891,53351.537,39743.53
"Gng4",108.366132998042,7.77396687782969,5.32130580449058e-13,1.43041453548502e-11,0,1.75,188.017,243.697
"Plat",8.13966925432357,6.46577793401589,0.000396909850506793,NA,0,0,16.439,16.12
"Sphk1",63.9525435595901,6.3981767974699,5.29842823807254e-12,1.31646497942752e-10,2.291,0.875,116.098,136.546
"Flrt3",62.0479053479026,6.36881205945228,8.13459852196093e-12,1.97141176260409e-10,1.145,1.75,119.18,126.116
"Cd70",18.1179786030241,6.1757710482399,9.72509250305364e-05,0.000784452174874014,0,0.875,30.822,40.774
"Edn1",6.44066401401138,6.12742469638119,0.00138148427531027,NA,0,0,14.384,11.379
"Stc1",15.2814231902125,5.89656541159754,0.000249253112466239,NA,1.145,0,27.74,32.24
"Sowaha",4.89954351144912,5.73439359752479,0.00502459953799343,NA,0,0,8.219,11.379
"Igfbp6",4.87974977558037,5.72909954483952,0.00522271242895542,NA,0,0,7.192,12.327
"Gm2176",4.80057483210534,5.7074097648024,0.00699632210191201,NA,0,0,3.082,16.12
"Tnip3",377.564468619116,5.69749820615517,1.32679533411391e-63,4.49161682951751e-61,10.309,17.505,730.491,751.953
"Rhov",4.64269009435541,5.65705330467943,0.00640865987051566,NA,0,0,7.192,11.379
"Lrrc32",309.470040242631,5.6253025216409,2.96141212756846e-10,6.08747202617631e-09,20.617,4.376,591.79,621.096
"Tnfsf4",85.3798143686406,5.56867583338807,1.57348562952558e-17,6.19838902714566e-16,5.727,1.75,163.359,170.683
"Gm19589",4.14877699603675,5.49494652074889,0.0102195932020806,NA,0,0,6.164,10.431
"Foxj1",3.81321378466813,5.36816934289676,0.0177849954371335,NA,0,0,13.356,1.896
"Mir155",3.73403884119311,5.34028579743714,0.015284740962581,NA,0,0,9.247,5.689
"Mt2",47.7631633114729,5.21476965938899,9.28223811797860e-11,2.01511995054233e-09,3.436,1.75,73.974,111.892
"Spry4",9.3265115126319,5.20600616035508,0.00266040229167739,NA,0,0.875,17.466,18.965
"Plagl1",55.0986312054546,5.1950829126697,2.76418710279878e-12,7.0127491533066e-11,1.145,4.376,118.153,96.72
"Snca",8.73362973496945,5.11173684170463,0.00381319104980319,NA,0,0.875,11.302,22.758
"Muc1",8.59553873308828,5.08600290046202,0.00380222415721077,NA,0,0.875,16.439,17.068
"Adamts9",8.80163685366372,5.06697785413187,0.0040810610645926,NA,1.145,0,23.631,10.431
